"name","current employee estimate","city","state"
"dawanda gmbh",89,"berlin","berlin"
"brands4friends - private sale gmbh",88,"berlin","berlin"
"finleap",88,"berlin","berlin"
"relayr",87,"berlin","berlin"
"eyeem",87,"berlin","berlin"
"fritz-haber-institut der max-planck-gesellschaft",87,"berlin","berlin"
"phorms education",87,"berlin","berlin"
"hometogo",86,"berlin","berlin"
"wwf germany",85,"berlin","berlin"
"magix ag",85,"berlin","berlin"
"blinkist",85,"berlin","berlin"
"beko käuferportal gmbh",84,"berlin","berlin"
"lesara gmbh",83,"berlin","berlin"
"berlin partner für wirtschaft und technologie gmbh",83,"berlin","berlin"
"divimove",83,"berlin","berlin"
"plista",82,"berlin","berlin"
"imc - more than learning",82,"berlin","berlin"
"berliner verkehrsbetriebe gmbh (bvg)",82,"berlin","berlin"
"greatcontent ag",82,"berlin","berlin"
"zanox",82,"berlin","berlin"
"pme familienservice gmbh",82,"berlin","berlin"
"glossybox",81,"berlin","berlin"
"raisin gmbh",80,"berlin","berlin"
"the kadewe group",80,"berlin","berlin"
"fraunhofer izm berlin",80,"berlin","berlin"
"chal-tec gmbh",80,"berlin","berlin"
"polaroid originals",80,"berlin","berlin"
"flexim gmbh",79,"berlin","berlin"
"mister spex",78,"berlin","berlin"
"project a ventures",78,"berlin","berlin"
"scope group",78,"berlin","berlin"
"codete gmbh",78,"berlin","berlin"
"uberall.com",78,"berlin","berlin"
"securitas deutschland",77,"berlin","berlin"
"lingoda gmbh",77,"berlin","berlin"
"adelphi, berlin",77,"berlin","berlin"
"coeus solutions gmbh",76,"berlin","berlin"
"first sensor ag",75,"berlin","berlin"
"resident advisor",74,"berlin","berlin"
"leverton",74,"berlin","berlin"
"berlin brandenburg airport",74,"berlin","berlin"
"zeotap",73,"berlin","berlin"
"p+p pöllath + partners",72,"berlin","berlin"
"upday for samsung",72,"berlin","berlin"
"berliner sparkasse",71,"berlin","berlin"
"remerge - app retargeting",71,"berlin","berlin"
"delivery hero germany gmbh",70,"berlin","berlin"
"thermondo gmbh",70,"berlin","berlin"
"webtrekk",70,"berlin","berlin"
"meelogic consulting ag",70,"berlin","berlin"
"younicos",70,"berlin","berlin"
"t.a. cook",70,"berlin","berlin"
"evergreen",69,"berlin","berlin"
"iconmobile group",69,"berlin","berlin"
"simplesurance gmbh",69,"berlin","berlin"
"affinitas gmbh",68,"berlin","berlin"
"gameduell",68,"berlin","berlin"
"yager",68,"berlin","berlin"
"mybet.com",67,"berlin","berlin"
"detewe communications gmbh",67,"berlin","berlin"
"hella aglaia mobile vision gmbh",67,"berlin","berlin"
"bundesverband der deutschen industrie e.v.",66,"berlin","berlin"
"a&o hotels & hostels",66,"berlin","berlin"
"games academy",66,"berlin","berlin"
"museum für naturkunde berlin",65,"berlin","berlin"
"zalon by zalando",65,"berlin","berlin"
"saxonia systems ag",65,"berlin","berlin"
"bosch thermotechnik",65,"berlin","berlin"
"ressourcenmangel gmbh",65,"berlin","berlin"
"spryker systems gmbh",65,"berlin","berlin"
"berlin hyp ag",64,"berlin","berlin"
"lautsprecher teufel",64,"berlin","berlin"
"contorion",64,"berlin","berlin"
"quadriga media berlin gmbh",63,"berlin","berlin"
"auswärtiges amt (federal foreign office) germany",63,"berlin","berlin"
"weq global",63,"berlin","berlin"
"ul dewi (ul international gmbh)",63,"berlin","berlin"
"avenso gmbh (lumas | whitewall)",63,"berlin","berlin"
"rocket internet",63,"berlin","berlin"
"zalando media solutions",63,"berlin","berlin"
"monoqi",62,"berlin","berlin"
"cultuzz digital media gmbh",62,"berlin","berlin"
"ixds",62,"berlin","berlin"
"bitkom",62,"berlin","berlin"
"bundesministerium für verkehr und digitale infrastruktur",62,"berlin","berlin"
"berliner glas kgaa herbert kubatz gmbh & co.",61,"berlin","berlin"
"berlin international film festival (berlinale)",61,"berlin","berlin"
"amorelie",61,"berlin","berlin"
"exozet",61,"berlin","berlin"
"deutsche gesetzliche unfallversicherung e.v.",61,"berlin","berlin"
"kofler & kompanie gmbh",60,"berlin","berlin"
"diva-e digital value excellence gmbh",60,"berlin","berlin"
"optimal systems gmbh",60,"berlin","berlin"
"intercontinental hotel berlin gmbh",60,"berlin","berlin"
"toll collect",60,"berlin","berlin"
"egb",60,"berlin","berlin"
"ziegert bank- & real estate consulting gmbh",60,"berlin","berlin"
"psi automotive & industry gmbh",59,"berlin","berlin"
"mcmakler gmbh",59,"berlin","berlin"
"the unbelievable machine company gmbh",59,"berlin","berlin"
"mycs gmbh",59,"berlin","berlin"
"pkf fasselt schlage",59,"berlin","berlin"
"lucanet ag",59,"berlin","berlin"
"gre - gauff rail engineering gmbh & co. kg",58,"berlin","berlin"
"teles ag",58,"berlin","berlin"
"k.i.t. group gmbh",58,"berlin","berlin"
"travel audience gmbh - an amadeus company",58,"berlin","berlin"
"gematik",58,"berlin","berlin"
"clue by biowink",58,"berlin","berlin"
"trommsdorff + drüner, innovation + marketing consultants gmbh",58,"berlin","berlin"
"antoni berlin gmbh & co. kg",58,"berlin","berlin"
"rise | visual effects studios",58,"berlin","berlin"
"orderbird ag",58,"berlin","berlin"
"freighthub gmbh",58,"berlin","berlin"
"comatch",57,"berlin","berlin"
"funding circle deutschland gmbh",57,"berlin","berlin"
"flaconi",56,"berlin","berlin"
"customer alliance",56,"berlin","berlin"
"spd parteivorstand",56,"berlin","berlin"
"8fit",56,"berlin","berlin"
"akelius gmbh",55,"berlin","berlin"
"performics deutschland",55,"berlin","berlin"
"nu3 gmbh",55,"berlin","berlin"
"hotel adlon kempinski berlin",55,"berlin","berlin"
"veridos",55,"berlin","berlin"
"gazprom germania gmbh",55,"berlin","berlin"
"think global milengo gmbh",55,"berlin","berlin"
"jordahl (beijing) building technology co., ltd. <U+4E54><U+8FBE>(<U+5317><U+4EAC>)<U+5EFA><U+7B51><U+6280><U+672F><U+6709><U+9650><U+516C><U+53F8>",54,"berlin","berlin"
"ada health",54,"berlin","berlin"
"berliner wasserbetriebe",54,"berlin","berlin"
"federal ministry of economics and technology",54,"berlin","berlin"
"rebuy recommerce gmbh",53,"berlin","berlin"
"diffferent",53,"berlin","berlin"
"heye gmbh, advertising agency, member of ddb worldwide communications group",53,"berlin","berlin"
"sparkassen-finanzportal gmbh",52,"berlin","berlin"
"moia",52,"berlin","berlin"
"medigo gmbh",52,"berlin","berlin"
"bruker nano analytics",52,"berlin","berlin"
"becker büttner held",52,"berlin","berlin"
"ecologic institute, berlin, germany",51,"berlin","berlin"
"spotcap global",51,"berlin","berlin"
"freenet digital",50,"berlin","berlin"
"teach first deutschland gemeinnützige gmbh",50,"berlin","berlin"
"smava gmbh",50,"berlin","berlin"
"scholpp - worldwide industrial installation",50,"berlin","berlin"
"grand city property",50,"berlin","berlin"
"unu gmbh",50,"berlin","berlin"
"adviqo ag",50,"berlin","berlin"
"srh hochschule berlin",49,"berlin","berlin"
"friendsurance",49,"berlin","berlin"
"vdi/vde innovation + technik gmbh",49,"berlin","berlin"
"frontier car group",49,"berlin","berlin"
"publicis emil",49,"berlin","berlin"
"zenjob",49,"berlin","berlin"
